1670265167.987284,left
1670265167.987284,right
1670265183.613046,left
1670265183.613046,right
1670265189.281316,left
1670265189.281316,right
1670265194.951312,left
1670265194.951312,right
1670265200.649985,left
1670265200.649985,right
1670265206.336021,left
1670265206.336021,right
1670265212.026273,left
1670265212.026273,right
1670265217.729448,left
1670265217.729448,right
1670265223.430401,left
1670265223.430401,right
1670265229.127531,left
1670265229.127531,right
1670265234.818048,left
1670265234.818048,right
1670265240.508197,left
1670265240.508197,right
1670265246.176506,left
1670265246.176506,right
1670265251.878458,left
1670265251.878458,right
1670265257.570863,left
1670265257.570863,right
1670265263.232966,left
1670265263.232966,right
1670265268.932458,left
1670265268.932458,right
1670265274.626913,left
1670265274.626913,right
1670265280.3047,left
1670265280.3047,right
1670265286.009018,left
1670265286.009018,right
1670265291.711235,left
1670265291.711235,right
1670265297.388791,left
1670265297.388791,right
