timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670266377.4,-9.928,0.005,2.87,0.8579,0.4818,-0.027800000000000002,-0.082,0.007,-0.02
1670266377.44,-9.917,0.029,2.852,0.8567,0.4833,-0.026600000000000002,-0.08,0.006,-0.013000000000000001
1670266377.48,-9.879,0.01,2.775,0.8598,0.4842,-0.025500000000000002,-0.078,0.008,-0.01
1670266377.52,-9.925,0.027,2.844,0.8589,0.48040000000000005,-0.0269,-0.08,0.004,-0.012
1670266377.559999,-9.886000000000001,0.0,2.891,0.8572000000000001,0.4838,-0.023700000000000002,-0.079,0.007,-0.015
1670266377.599999,-9.919,-0.039,2.806,0.8593000000000001,0.4812,-0.023700000000000002,-0.077,0.006,-0.013000000000000001
1670266377.639999,-9.915000000000001,0.07100000000000001,2.927,0.8567,0.4823,-0.0341,-0.079,-0.003,-0.022
1670266377.6799989,-9.968,0.001,2.847,0.8564,0.4812,-0.0274,-0.062,0.01,-0.002
1670266377.719999,-9.968,0.009000000000000001,2.795,0.8564,0.4817,-0.0318,-0.081,0.004,-0.005
1670266377.759999,-9.833,0.009000000000000001,2.842,0.859,0.4817,-0.0187,-0.089,0.014,-0.017
1670266377.799999,-9.85,0.017,2.842,0.8545,0.48200000000000004,-0.0187,-0.091,0.0,-0.02
1670266377.839999,-9.837,0.023,2.8120000000000003,0.8586,0.4808,-0.033600000000000005,-0.081,-0.006,-0.005
1670266377.879999,-9.964,0.054,2.809,0.8572000000000001,0.4813,-0.0313,-0.067,0.034,-0.01
1670266377.919999,-9.851,-0.063,2.898,0.8454,0.4776,-0.0228,-0.082,0.009000000000000001,-0.013000000000000001
1670266377.959999,-9.845,0.035,2.819,0.8528,0.48200000000000004,-0.0426,-0.083,0.002,-0.009000000000000001
1670266377.999999,-9.896,-0.001,2.775,0.8562000000000001,0.4824,-0.0134,-0.081,-0.007,-0.014
1670266378.039999,-9.921,0.02,2.9330000000000003,0.8568,0.4828,-0.02,-0.056,0.003,-0.023
1670266378.079999,-9.898,0.01,2.847,0.8576,0.48190000000000005,-0.027600000000000003,-0.068,-0.01,-0.021
1670266378.119999,-9.852,0.02,2.828,0.8589,0.48450000000000004,-0.025500000000000002,-0.07200000000000001,-0.005,-0.016
1670266378.159999,-9.877,-0.006,2.931,0.8480000000000001,0.48090000000000005,-0.0164,-0.07200000000000001,0.0,-0.014
1670266378.199999,-9.889,0.002,2.857,0.8581000000000001,0.4848,-0.0273,-0.088,0.002,-0.016
1670266378.239999,-9.922,-0.007,2.894,0.8602000000000001,0.4854,-0.027100000000000003,-0.08,0.015,-0.006
1670266378.279999,-9.889,-0.019,2.898,0.8571000000000001,0.4833,-0.0256,-0.077,0.0,-0.008
1670266378.319999,-9.918000000000001,-0.044,2.9330000000000003,0.8466,0.4802,-0.0201,-0.069,0.004,-0.017
1670266378.359999,-9.854000000000001,-0.008,2.833,0.8566,0.4827,-0.026600000000000002,-0.08,-0.003,-0.007
1670266378.399999,-9.902000000000001,0.007,2.852,0.8578,0.48300000000000004,-0.0257,-0.063,0.009000000000000001,-0.008
1670266378.439999,-9.848,0.01,2.863,0.8551000000000001,0.48200000000000004,-0.0281,-0.066,0.003,-0.026000000000000002
1670266378.479999,-9.826,0.023,2.782,0.859,0.4848,-0.024900000000000002,-0.064,0.016,-0.012
1670266378.519999,-9.759,-0.006,2.802,0.8598,0.4854,-0.025400000000000002,-0.08,0.002,-0.01
1670266378.559999,-9.997,0.025,2.964,0.8586,0.4824,-0.0275,-0.069,0.027,0.0
1670266378.599998,-9.919,0.002,2.854,0.8602000000000001,0.4817,-0.0263,-0.083,0.005,-0.02
1670266378.639998,-9.787,0.015,2.798,0.8557,0.4839,-0.0253,-0.08600000000000001,0.006,-0.012
1670266378.679998,-9.886000000000001,0.018000000000000002,2.854,0.8587,0.4838,-0.0267,-0.085,0.01,-0.014
1670266378.719998,-9.855,0.04,2.815,0.8543000000000001,0.48260000000000003,-0.0247,-0.078,0.018000000000000002,-0.004
1670266378.759998,-9.955,-0.022,2.86,0.8579,0.4839,-0.0245,-0.08,0.019,-0.015
1670266378.799998,-9.875,0.045,2.7800000000000002,0.8580000000000001,0.48200000000000004,-0.0269,-0.077,0.018000000000000002,-0.013000000000000001
1670266378.839998,-9.855,0.015,2.811,0.8581000000000001,0.48310000000000003,-0.027700000000000002,-0.089,0.012,-0.009000000000000001
1670266378.879998,-9.833,0.052000000000000005,2.737,0.8528,0.4829,-0.026500000000000003,-0.082,0.01,-0.016
1670266378.919998,-9.899000000000001,0.01,2.875,0.8555,0.4827,-0.0269,-0.07200000000000001,0.005,-0.018000000000000002
1670266378.959998,-9.889,0.011,2.793,0.8580000000000001,0.4812,-0.024900000000000002,-0.074,0.006,-0.007
1670266378.999998,-9.861,0.036000000000000004,2.84,0.8591000000000001,0.4822,-0.024900000000000002,-0.075,0.0,-0.014
1670266379.039998,-9.879,-0.017,2.84,0.8573000000000001,0.4823,-0.0286,-0.08,0.001,-0.022
1670266379.079998,-9.91,0.011,2.813,0.8588,0.48260000000000003,-0.0296,-0.075,0.008,-0.017
1670266379.119998,-9.852,0.03,2.819,0.8578,0.48450000000000004,-0.0274,-0.08,0.002,-0.012
1670266379.159998,-9.921,-0.005,2.872,0.8597,0.48350000000000004,-0.028900000000000002,-0.08700000000000001,0.004,-0.014
1670266379.199998,-9.876,0.044,2.872,0.8568,0.4834,-0.0279,-0.091,0.015,-0.006
1670266379.239998,-9.870000000000001,-0.005,2.839,0.8576,0.4852,-0.0252,-0.076,0.012,-0.02
1670266379.279998,-9.986,-0.023,2.846,0.8562000000000001,0.4854,-0.0262,-0.09,0.029,-0.012
1670266379.319998,-9.844,0.034,2.851,0.8584,0.4857,-0.0264,-0.063,0.021,-0.011
1670266379.359998,-9.888,0.055,2.851,0.8574,0.48400000000000004,-0.0274,-0.108,0.026000000000000002,-0.001
1670266379.399998,-9.914,-0.08700000000000001,2.857,0.8576,0.48040000000000005,-0.0262,-0.158,-0.036000000000000004,0.042
1670266379.439998,-9.928,0.079,2.785,0.8559,0.4833,-0.029,-0.074,0.023,-0.04
1670266379.479998,-9.847,0.005,2.847,0.8619,0.4844,-0.0273,-0.073,0.0,-0.031
1670266379.519998,-9.931000000000001,0.011,2.864,0.8576,0.48410000000000003,-0.0281,-0.074,0.009000000000000001,-0.018000000000000002
1670266379.559998,-9.915000000000001,-0.04,2.87,0.8559,0.4854,-0.0275,-0.083,0.022,-0.019
1670266379.599998,-9.927,0.06,2.873,0.8588,0.4849,-0.0261,-0.067,0.011,-0.011
1670266379.639997,-9.987,-0.013000000000000001,2.832,0.8576,0.48350000000000004,-0.028300000000000002,-0.031,0.027,-0.027
1670266379.679997,-9.904,0.056,2.91,0.8597,0.48210000000000003,-0.0285,-0.005,0.03,-0.052000000000000005
1670266379.719997,-9.84,-0.073,2.7920000000000003,0.8568,0.48450000000000004,-0.027100000000000003,-0.036000000000000004,0.016,-0.027
1670266379.759997,-9.91,-0.034,2.855,0.8586,0.48510000000000003,-0.026600000000000002,-0.069,0.012,-0.022
1670266379.799997,-9.818,0.032,2.782,0.8564,0.4839,-0.0279,-0.069,-0.001,-0.016
1670266379.839997,-9.862,-0.005,2.7920000000000003,0.8572000000000001,0.48310000000000003,-0.025900000000000003,-0.099,-0.016,0.005
1670266379.879997,-9.916,0.024,2.827,0.8539,0.4827,-0.0263,-0.094,0.012,-0.006
1670266379.919997,-9.891,-0.002,2.863,0.8559,0.4824,-0.029500000000000002,-0.085,0.008,-0.022
1670266379.959997,-9.898,0.047,2.727,0.8594,0.4829,-0.027800000000000002,-0.076,0.024,-0.019
1670266379.999997,-9.884,0.001,2.819,0.8588,0.48450000000000004,-0.0274,-0.098,-0.006,-0.012
1670266380.039997,-9.832,0.038,2.714,0.8551000000000001,0.4838,-0.0256,-0.079,-0.003,-0.014
1670266380.079997,-9.859,-0.053,2.791,0.8572000000000001,0.48560000000000003,-0.0252,-0.08,0.014,-0.027
1670266380.119997,-9.884,0.12,2.83,0.8574,0.4857,-0.025500000000000002,-0.07200000000000001,-0.009000000000000001,-0.004
1670266380.159997,-9.927,-0.023,2.73,0.8569,0.48090000000000005,-0.028900000000000002,-0.07100000000000001,-0.006,-0.019
1670266380.199997,-9.853,-0.018000000000000002,2.819,0.8564,0.4857,-0.024900000000000002,-0.076,0.005,-0.019
1670266380.239997,-9.862,-0.013000000000000001,2.7720000000000002,0.8603000000000001,0.48510000000000003,-0.0253,-0.091,-0.005,-0.011
1670266380.279997,-9.895,0.012,2.828,0.8576,0.4823,-0.0275,-0.09,-0.008,-0.012
1670266380.319997,-9.891,0.013000000000000001,2.836,0.8563000000000001,0.4862,-0.026600000000000002,-0.073,0.007,-0.022
1670266380.359997,-9.858,-0.03,2.823,0.859,0.48560000000000003,-0.0257,-0.079,-0.003,-0.018000000000000002
1670266380.399997,-9.85,0.02,2.883,0.8557,0.4854,-0.0274,-0.075,0.002,-0.007
1670266380.439997,-9.865,-0.02,2.821,0.8599,0.48600000000000004,-0.0247,-0.085,0.006,-0.001
1670266380.479997,-9.913,0.014,2.815,0.8567,0.48400000000000004,-0.027700000000000002,-0.08700000000000001,0.003,-0.014
1670266380.519997,-9.862,-0.011,2.859,0.8578,0.48210000000000003,-0.025500000000000002,-0.082,0.0,-0.022
1670266380.5599968,-9.898,-0.005,2.857,0.8559,0.48350000000000004,-0.0244,-0.076,-0.006,-0.01
1670266380.599997,-9.888,-0.01,2.821,0.8561000000000001,0.4838,-0.025500000000000002,-0.07,0.001,-0.034
1670266380.639997,-9.915000000000001,-0.033,2.927,0.8586,0.48200000000000004,-0.0257,-0.077,0.012,-0.018000000000000002
1670266380.679996,-9.873,-0.025,2.775,0.8583000000000001,0.4838,-0.0269,-0.076,0.014,-0.016
1670266380.719996,-9.903,-0.019,2.876,0.8574,0.48750000000000004,-0.0268,-0.085,0.006,-0.014
1670266380.759996,-9.887,0.008,2.858,0.8595,0.4837,-0.028300000000000002,-0.08700000000000001,0.0,0.002
1670266380.799996,-9.847,-0.02,2.867,0.8555,0.48450000000000004,-0.0291,-0.08600000000000001,0.009000000000000001,-0.024
1670266380.839996,-9.872,-0.038,2.822,0.8592000000000001,0.4832,-0.0233,-0.078,0.014,-0.02
1670266380.879996,-9.937,0.064,2.9130000000000003,0.8579,0.48450000000000004,-0.0261,-0.054,0.008,-0.025
1670266380.919996,-9.911,-0.076,2.842,0.8490000000000001,0.4817,-0.023100000000000002,-0.059000000000000004,0.018000000000000002,-0.008
1670266380.959996,-9.858,-0.019,2.835,0.8584,0.48450000000000004,-0.0264,-0.058,0.007,-0.02
1670266380.999996,-9.834,-0.019,2.828,0.8586,0.4864,-0.025900000000000003,-0.081,0.01,-0.02
1670266381.039996,-9.879,0.024,2.827,0.8589,0.48260000000000003,-0.0264,-0.08,-0.004,0.0
1670266381.079996,-9.959,0.016,2.888,0.8604,0.4852,-0.027100000000000003,-0.079,0.007,-0.008
1670266381.119996,-9.877,-0.052000000000000005,2.89,0.8564,0.4829,-0.025500000000000002,-0.076,0.002,-0.027
1670266381.159996,-9.852,0.046,2.833,0.8571000000000001,0.4818,-0.026000000000000002,-0.084,0.0,0.0
1670266381.199996,-9.876,-0.025,2.834,0.8608,0.48460000000000003,-0.025500000000000002,-0.098,-0.003,0.001
1670266381.239996,-9.842,0.012,2.849,0.8550000000000001,0.48460000000000003,-0.038900000000000004,-0.073,-0.001,-0.014
1670266381.279996,-9.891,-0.012,2.821,0.8550000000000001,0.4817,-0.013600000000000001,-0.079,0.002,-0.014
1670266381.319996,-9.881,0.0,2.895,0.8550000000000001,0.4854,-0.002,-0.085,-0.006,-0.003
1670266381.359996,-9.881,-0.007,2.873,0.8576,0.4854,-0.027100000000000003,-0.074,0.006,-0.016
1670266381.399996,-9.881,-0.007,2.895,0.8546,0.4833,-0.026500000000000003,-0.07200000000000001,0.014,-0.018000000000000002
1670266381.439996,-9.896,-0.02,2.895,0.8501000000000001,0.48040000000000005,-0.026500000000000003,-0.095,0.014,-0.007
1670266381.479996,-9.86,-0.012,2.857,0.8586,0.4849,-0.0151,-0.08,0.022,-0.001
1670266381.519996,-9.884,0.023,2.787,0.8557,0.48400000000000004,-0.011000000000000001,-0.082,0.01,-0.009000000000000001
1670266381.559996,-9.881,-0.029,2.821,0.8561000000000001,0.4813,-0.0317,-0.084,0.005,-0.018000000000000002
1670266381.5999959,-9.933,0.0,2.884,0.8445,0.48100000000000004,-0.024800000000000003,-0.092,0.007,-0.019
1670266381.639996,-9.838000000000001,-0.033,2.835,0.8519,0.4839,-0.0253,-0.069,0.01,-0.018000000000000002
1670266381.679996,-9.957,0.052000000000000005,2.822,0.8531000000000001,0.4839,-0.028,-0.064,0.012,-0.006
1670266381.719995,-9.897,-0.031,2.846,0.8552000000000001,0.4854,-0.027700000000000002,-0.084,0.015,-0.009000000000000001
1670266381.759995,-9.864,0.008,2.757,0.8579,0.4843,-0.0264,-0.084,0.001,-0.014
1670266381.799995,-9.858,0.005,2.858,0.8573000000000001,0.48460000000000003,-0.028900000000000002,-0.085,0.006,-0.013000000000000001
1670266381.839995,-9.862,0.035,2.8000000000000003,0.8582000000000001,0.4848,-0.027700000000000002,-0.075,0.005,-0.028
1670266381.879995,-9.950000000000001,-0.047,2.882,0.8595,0.4844,-0.027600000000000003,-0.093,0.012,-0.021
1670266381.919995,-9.864,0.065,2.821,0.8554,0.4827,-0.025,-0.077,0.002,-0.016
1670266381.959995,-9.897,-0.031,2.853,0.8597,0.4837,-0.023200000000000002,-0.095,0.0,-0.012
1670266381.999995,-9.908,-0.001,2.799,0.8586,0.4859,-0.0252,-0.078,0.013000000000000001,-0.015
1670266382.039995,-9.862,-0.007,2.873,0.8543000000000001,0.4832,-0.0291,-0.082,0.004,-0.014
1670266382.079995,-9.874,-0.02,2.799,0.8563000000000001,0.4839,-0.021500000000000002,-0.08700000000000001,0.002,-0.009000000000000001
1670266382.119995,-9.888,-0.001,2.865,0.8589,0.4833,-0.0285,-0.083,0.007,-0.017
1670266382.159995,-9.892,-0.006,2.845,0.8487,0.4834,-0.0245,-0.1,0.002,-0.009000000000000001
1670266382.199995,-9.869,-0.01,2.839,0.8578,0.48300000000000004,-0.0267,-0.097,-0.005,0.009000000000000001
1670266382.239995,-9.879,0.016,2.822,0.8446,0.4812,-0.015600000000000001,-0.098,0.022,-0.018000000000000002
1670266382.279995,-9.885,-0.044,2.849,0.8570000000000001,0.48300000000000004,-0.0257,-0.107,0.001,0.016
1670266382.319995,-9.801,0.105,2.7760000000000002,0.8556,0.48200000000000004,-0.0244,-0.077,0.03,-0.005
1670266382.359995,-9.853,-0.002,2.83,0.8598,0.48600000000000004,-0.025500000000000002,-0.083,0.02,-0.005
1670266382.3999949,-10.012,-0.022,2.867,0.8586,0.48140000000000005,-0.0252,-0.069,0.019,-0.01
1670266382.439995,-9.88,0.039,2.878,0.8579,0.4827,-0.0268,-0.059000000000000004,0.012,-0.031
