1670356789.642615,left
1670356793.424321,right
1670356797.327825,waiting
1670356802.150806,left
1670356805.908521,right
1670356809.795634,waiting
1670356814.600135,left
1670356818.366947,right
1670356822.271081,waiting
1670356827.090823,left
1670356830.851182,right
1670356834.73865,waiting
1670356839.557559,left
1670356843.333733,right
1670356847.242726,waiting
1670356852.062283,left
1670356855.816145,right
1670356859.715588,waiting
1670356864.531621,left
1670356868.308548,right
1670356872.214932,waiting
1670356877.038919,left
1670356880.79373,right
1670356884.701298,waiting
1670356889.519444,left
1670356893.301625,right
1670356897.210279,waiting
1670356902.025764,left
1670356905.779143,right
1670356909.69021,waiting
