1670263884.079242,left
1670263884.079242,right
1670263899.64544,left
1670263899.64544,right
1670263905.311366,left
1670263905.311366,right
1670263911.012226,left
1670263911.012226,right
1670263916.695818,left
1670263916.695818,right
1670263922.38729,left
1670263922.38729,right
1670263928.08381,left
1670263928.08381,right
1670263933.783406,left
1670263933.783406,right
1670263939.449249,left
1670263939.449249,right
1670263945.14084,left
1670263945.14084,right
1670263950.838096,left
1670263950.838096,right
1670263956.499449,left
1670263956.499449,right
1670263962.198839,left
1670263962.198839,right
1670263967.898685,left
1670263967.898685,right
1670263973.571729,left
1670263973.571729,right
1670263979.265113,left
1670263979.265113,right
1670263984.960773,left
1670263984.960773,right
1670263990.644881,left
1670263990.644881,right
1670263996.310027,left
1670263996.310027,right
1670264002.006437,left
1670264002.006437,right
1670264007.689269,left
1670264007.689269,right
1670264013.363877,left
1670264013.363877,right
