timestamp,ch1
1670266974.0,-18717.015530707304
1670266974.004,-17398.39671831092
1670266974.008,-17388.696061217317
1670266974.012,-17396.34035782103
1670266974.016,-17405.437517814342
1670266974.02,-17396.072136887567
1670266974.024,-17390.35009030701
1670266974.028,-17375.374421521952
1670266974.032,-17370.345279019508
1670266974.036,-17377.564892478575
1670266974.04,-17365.91963361736
1670266974.044,-17353.179139277832
1670266974.048,-17343.81375835106
1670266974.052,-17353.62617416694
1670266974.056,-17360.465807970264
1670266974.06,-17355.548424190096
1670266974.064,-17346.875947341436
1670266974.068,-17353.872043355947
1670266974.072,-17366.47842722874
1670266974.076,-17385.902093160403
1670266974.08,-17387.10908736099
1670266974.0839999,-17377.989575623225
1670266974.0879998,-17374.033316854635
1670266974.092,-17385.566816993574
1670266974.096,-17372.53574997613
1670266974.1,-17364.019735338657
1670266974.1039999,-17355.950755590293
1670266974.108,-17347.032409552623
1670266974.112,-17356.710714901772
1670266974.116,-17367.77482840715
1670266974.12,-17361.784560893127
1670266974.1239998,-17356.420142223855
1670266974.128,-17368.221863296254
1670266974.132,-17381.52115124716
1670266974.136,-17384.091601859524
1670266974.1399999,-17379.040107612625
1670266974.1439998,-17369.093581330013
1670266974.148,-17363.036258582622
1670266974.152,-17354.00615382268
1670266974.156,-17355.61547942346
1670266974.16,-17351.52511018814
1670266974.164,-17347.971182819747
1670266974.168,-17361.67280217085
1670266974.1720002,-17385.969148393768
1670266974.176,-17401.145982878923
1670266974.18,-17406.130421892456
1670266974.184,-17409.192610882834
1670266974.1880002,-17417.149831908922
1670266974.1920002,-17418.334474365052
1670266974.196,-17418.73680576525
1670266974.2,-17406.06336665909
1670266974.204,-17395.401584553907
1670266974.2080002,-17387.399660038907
1670266974.2120001,-17393.613444997485
1670266974.216,-17395.334529320542
1670266974.22,-17389.21015133979
1670266974.224,-17389.858351928993
1670266974.2280002,-17389.54542750662
1670266974.232,-17388.29372981712
1670266974.236,-17388.78546819514
1670266974.24,-17387.556122250095
1670266974.244,-17377.87781690095
1670266974.248,-17366.500778973197
1670266974.252,-17367.551310962597
1670266974.256,-17362.566871949064
1670266974.26,-17353.96145033377
1670266974.264,-17351.458054954775
1670266974.2680001,-17350.72044738775
1670266974.272,-17354.81081662307
1670266974.276,-17371.90990113138
1670266974.28,-17383.264587314676
1670266974.284,-17383.733973948238
1670266974.288,-17392.898189174914
1670266974.292,-17404.521096291675
1670266974.296,-17409.97492193877
1670266974.3,-17399.91663693388
1670266974.304,-17380.805895424593
1670266974.308,-17374.659165699384
1670266974.312,-17373.385116265432
1670266974.316,-17375.374421521952
1670266974.32,-17369.562967963575
1670266974.324,-17367.43955224032
1670266974.3279998,-17377.497837245206
1670266974.332,-17395.78156420965
1670266974.336,-17405.750442236716
1670266974.34,-17406.108070148002
1670266974.3439999,-17404.610503269494
1670266974.348,-17399.536657278142
