1670355407.432228,left
1670355411.19729,right
1670355415.103872,waiting
1670355419.926125,left
1670355423.706266,right
1670355427.601752,waiting
1670355432.418606,left
1670355436.200106,right
1670355440.103576,waiting
1670355444.919896,left
1670355448.69993,right
1670355452.593599,waiting
1670355457.40286,left
1670355461.179064,right
1670355465.083981,waiting
1670355469.910715,left
1670355473.687852,right
1670355477.579025,waiting
1670355482.38657,left
1670355486.167893,right
1670355490.07592,waiting
1670355494.899966,left
1670355498.678987,right
1670355502.581023,waiting
1670355507.378016,left
1670355511.159538,right
1670355515.049193,waiting
1670355519.870239,left
1670355523.619351,right
1670355527.509184,waiting
